jkk,brak,brak,fg,NI,88,jj,2023-01-13,12:25,2023-01-13,12:25
yt,2024-12-12,12:12,12:,WY,12,12,2023-01-12,21:30,2023-01-12,21:30
hokej,2023-01-14,12:12,12,NI,56,rty,2023-01-12,21:25,2023-01-12,21:25
qwe,2023-01-09,21:15,12,WY,12,12,2023-01-08,22:39,2023-01-08,22:46
12,2023-01-08,12:12,12,NI,12,12,2023-01-08,22:38,2023-01-08,22:38
trening,2115-12-12,21:15,12,WY,12,sport,2023-01-08,21:54,2023-01-08,21:59
zadanie,2023-01-10,12:13,informatyka,NI,30,nauka,2023-01-08,20:58,2023-01-08,21:03
mecz,2023-01-21,14:00,REAL,WY,0,rekreacja,2023-01-08,20:57,2023-01-08,20:57
tenis,2026-04-04,21:12,12,NI,56,sport,2023-01-08,16:40,2023-01-08,21:25
spacer,2115-05-05,21:15,12,NI,89,rekreacja,2023-01-08,16:39,2023-01-08,21:46
hokej,1212-12-12,12:12,12,NI,12,sport,2023-01-08,16:32,2024-10-27,17:04
